Loan_ID,Gender,Married,Dependents,Education,Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,58490,0,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,45830,15080,12800,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,30000,0,6600,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,25830,23580,12000,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,60000,0,14100,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,54170,41960,26700,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,23330,15160,9500,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,30360,25040,15800,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,40060,15260,16800,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,128410,109680,34900,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,32000,7000,7000,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,25000,18400,10900,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,30730,81060,20000,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,18530,28400,11400,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,12990,10860,1700,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,49500,0,12500,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,35960,0,10000,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,35100,0,7600,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,48870,0,13300,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,26000,35000,11500,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,76600,0,10400,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,59550,56250,31500,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,26000,19110,11600,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,33650,19170,11200,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,37170,29250,15100,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,95600,0,19100,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,27990,22530,12200,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,42260,10400,11000,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,14420,0,3500,360,1,Urban,N
LP001087,Female,No,2,Graduate,,37500,20830,12000,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,41660,33690,20100,360,,Urban,N
LP001095,Male,No,0,Graduate,No,31670,0,7400,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,46920,0,10600,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,35000,16670,11400,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,125000,30000,32000,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,22750,20670,,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,18280,13300,10000,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,36670,14590,14400,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,41660,72100,18400,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,37480,16680,11000,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,36000,0,8000,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,18000,12130,4700,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,24000,0,7500,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,39410,23360,13400,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,46950,0,9600,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,34100,0,8800,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,56490,0,4400,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,58210,0,14400,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,26450,34400,12000,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,40000,22750,14400,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,19280,16440,10000,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,30860,0,12000,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,42300,0,11200,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,46160,0,13400,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,115000,0,28600,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,27080,11670,9700,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,21320,15910,9600,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,33660,22000,13500,360,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,80800,22500,18000,360,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,33570,28590,14400,360,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,25000,37960,12000,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,30290,0,9900,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,26090,34490,16500,180,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,49450,0,,360,0,Rural,N
LP001222,Female,No,0,Graduate,No,41660,0,11600,360,0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,57260,45950,25800,360,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,32000,22540,12600,180,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,107500,0,31200,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,71000,0,12500,60,1,Urban,Y
LP001241,Female,No,0,Graduate,No,43000,0,13600,360,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,32080,30660,17200,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,18750,18750,9700,360,1,Semiurban,Y
LP001248,Male,No,0,Graduate,No,35000,0,8100,300,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,47550,0,9500,,0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,52660,17740,18700,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,37500,0,11300,480,1,Urban,N
LP001256,Male,No,0,Graduate,No,37500,47500,17600,360,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,10000,30220,11000,360,1,Urban,N
LP001263,Male,Yes,3+,Graduate,No,31670,40000,18000,300,0,Semiurban,N
